type,category,function,code,translate_key,name,word,word_default,multiple_row_flg,admin_flg
1,5,16,6,reservationsAdd/step3,予約画面/step3,完了,完了,0,0
1,5,16,7,reservation/charge,予約/料金,料金,料金,0,0
1,5,16,8,reservation/chargeUnit,予約/料金単位,円,円,0,0
1,5,16,9,reservation/dateTimeDay,予約/日,日,日,0,0
1,5,16,10,reservation/dateTimeMinute,予約/分,分,分,0,0
1,5,16,12,reservation/detail/backHistory,予約/予約履歴に戻るボタン,予約履歴に戻る,予約履歴に戻る,0,0
1,5,16,13,reservation/detail/cancelBtn,予約/キャンセルボタン,キャンセル,キャンセル,0,0
1,5,16,14,reservation/detail/editBtn,予約/編集ボタン,編集,編集,0,0
1,5,16,16,reservation/nextBtn,予約/確認ボタン,内容確認へ進む,内容確認へ進む,0,0
1,5,16,17,reservation/chargeInfo,予約/予約料金,予約料金,予約料金,0,0
1,5,16,18,reservation/paymentInfo,予約/支払い情報,お支払方法,お支払方法,0,0
1,5,16,19,reservation/paymentMethod,予約/決済情報,決済情報,決済情報,0,0
1,5,16,20,reservation/paymentStatus,予約/決済ステータス,決済ステータス,決済ステータス,0,0
1,5,16,21,reservation/registerUser,予約/会員登録ボタン,会員登録,会員登録,0,0
1,5,16,22,reservation/reservationId,予約/予約ID,予約ID,予約ID,0,0
1,5,16,23,reservation/reservationTerms,予約/予約利用規約,利用規約,利用規約,0,0
1,5,16,25,reservation/totalCharge,予約/合計料金,合計料金,合計料金,0,0
1,5,16,26,reservation/userTerms,予約/個人情報規約,個人情報規約,個人情報規約,0,0
1,5,16,27,reservation/selectCalendarBtn,予約/カレンダーから日時を変更するボタン,カレンダーから日時を選択する,カレンダーから日時を選択する,0,0
1,5,16,28,reservation/option/notReserve,予約/オプション/予約しない,予約しない,予約しない,0,0
1,5,16,29,reservation/newUser,予約/会員登録する,会員登録する,会員登録する,0,0
1,5,16,30,reservation/nonUser,予約/会員登録しない,会員登録しない,会員登録しない,0,0
1,5,16,31,reservation/deadlineHour,予約/締切時間(利用開始日時基準),利用開始日時の {0}時間前,利用開始日時の {0}時間前,0,0
